District,Year,Social,Youth,Total
1,2008,350374000.0,139089200.0,655721100.0
1,2009,353482395.7532861,138749541.15267944,654428039.635996
1,2010,377582488.2,149599371.0,695057331.8
1,2011,375384975.51420176,149809228.20763958,698356663.2713033
1,2012,385357593.8520653,164921144.66858792,707822311.0470681
1,2013,386024602.2727273,165405608.33333334,708734652.4621224
1,2014,402358851.4071294,179843162.6641651,741783524.202625
1,2015,411363070.2803739,180748083.17757007,750122813.8317771
2,2008,285506700.0,117704400.0,523454400.0
2,2009,287903924.570273,117296613.7512639,532101430.13144493
2,2010,297644214.4,131997989.2,556661780.1999997
2,2011,295830323.60430944,130815835.8472086,555091539.2752218
2,2012,287261675.6964457,142820726.6090298,556681297.7905835
2,2013,287334872.53787875,142890167.6136364,557384586.1742412
2,2014,282681020.2626641,151101355.15947467,563201905.0656658
2,2015,288880583.7383178,152327877.19626167,563936802.429907
3,2008,261509400.0,150670600.0,579321800.0
3,2009,263839642.46713844,150524614.35793728,575682231.3447924
3,2010,265520433.0,171079085.20000002,597769993.6
3,2011,264376923.6043095,171013732.81096965,598111173.163567
3,2012,260226521.80595583,204461923.15081653,635097659.9423606
3,2013,261068616.85606062,204285754.54545456,634611168.7500015
3,2014,261296844.6529081,228555169.98123828,661718196.8105054
3,2015,267355190.0934579,227828385.23364478,680955558.8785064
4,2008,238391500.0,87395500.0,498719500.0
4,2009,239701883.92315468,87223015.57128412,497863402.62891805
4,2010,243214056.4,96801733.2,513870464.7999999
4,2011,242081252.1057786,96776817.43388835,515471046.2291883
4,2012,244368591.93083578,106564531.02785784,525667004.0345796
4,2013,245076462.50000003,105738976.13636364,521795028.2196957
4,2014,254337220.07504687,117288954.78424014,544330179.5497174
4,2015,260918729.53271022,117630076.44859812,547455029.1588792
5,2008,205230100.0,83054900.0,381115300.0
5,2009,207123905.5611729,82899968.85743175,380912337.5126387
5,2010,222253865.6,87578097.60000001,406154500.4000001
5,2011,221027786.0920666,87414935.74926543,403796647.6003932
5,2012,225677024.97598463,104800812.87223825,426978349.2795349
5,2013,226005018.93939397,104678279.16666669,425760028.7878756
5,2014,230548073.92120072,115715147.09193243,447086715.7598489
5,2015,235903725.23364487,116325515.51401868,455468785.42056257
6,2008,154844800.0,91443400.0,378799400.0
6,2009,155511341.75935286,90285397.97775531,379980971.2841244
6,2010,159172149.20000002,98376276.59999998,405429198.8
6,2011,157037834.67189035,98301785.70029382,394619701.27326167
6,2012,160882522.76657066,110421012.87223825,416165594.8126791
6,2013,161449470.07575756,110804551.13636364,411973582.5757564
6,2014,163046199.4371482,124141654.78424013,427335637.33583456
6,2015,167091706.72897196,124768900.74766356,425885928.78504735
7,2008,266514900.0,116801600.0,509788200.0
7,2009,267994500.91001004,117568087.7654196,509801579.57532734
7,2010,277671601.2,132071051.8,537368718.2000002
7,2011,276437606.07247794,131081698.5308521,530294556.7091092
7,2012,284030607.6849184,146450078.00192124,558759190.9702182
7,2013,284770432.1969697,146109607.00757575,553127699.2424246
7,2014,298639606.0037524,153867982.3639775,573690965.6660401
7,2015,305882080.37383175,154499196.635514,582602980.3738332
8,2008,333881400.0,129230100.0,580341700.0
8,2009,336761171.6885743,128758938.52376136,581285383.2153684
8,2010,348584129.6,145256533.99999997,618360237.2000002
8,2011,346680014.2997061,144541129.67678747,613820441.9196873
8,2012,361140922.38232476,152522928.72238237,645981925.4562896
8,2013,361109521.4015152,152642697.34848484,642226431.4393954
8,2014,372289921.20075047,162044382.73921204,659775055.3470911
8,2015,380273108.0373832,162827302.80373827,672498535.5140187
9,2008,148402600.0,87629200.0,351514800.0
9,2009,149567825.4802831,87400475.63195145,350889684.32760257
9,2010,156858796.0,100817908.39999999,369475793.3999999
9,2011,154954197.45347697,98992468.56023505,364492524.3878564
9,2012,158636128.72238234,115512220.55715658,387028300.288182
9,2013,156559152.8409091,114127819.31818184,378267882.19696796
9,2014,162686022.70168853,125357598.12382741,404500302.81425864
9,2015,165875701.49532706,125607369.34579438,408889223.9252346
10,2008,197337900.0,108845700.0,411223700.0
10,2009,197985709.40343776,105701493.0232558,410632810.11122245
10,2010,207866252.2,122889715.60000002,442240818.59999996
10,2011,205145846.62095982,122893456.21939275,437772507.9333988
10,2012,210024724.8799232,136569050.91258407,458792051.296829
10,2013,210347973.86363637,137810306.8181818,456229763.06818163
10,2014,217157065.478424,159421678.23639777,492467966.97936165
10,2015,222248178.1308411,162692027.2897196,498850942.429907
11,2008,200827300.0,102555900.0,550001000.0
11,2009,201963805.66228515,102484481.0920121,550332360.7684519
11,2010,211833324.6,111303229.60000001,570541110.5999999
11,2011,210809986.87561217,111007665.62193926,573370781.7825681
11,2012,223120528.72238237,128855708.35734868,608013253.4101774
11,2013,223410606.4393939,128964691.66666669,606371232.3863652
11,2014,229355531.8949343,146365317.82363975,646103323.6397729
11,2015,234439929.90654203,146981269.1588785,650598830.4672911
12,2008,187871800.0,87577400.0,379236300.0
12,2009,189692342.7704752,87604255.61172901,378744632.9625881
12,2010,203230178.8,100247901.8,414909983.2
12,2011,202396924.97551417,99699278.94221352,412524920.4701276
12,2012,206129977.52161384,112448800.96061482,429729772.33429277
12,2013,206701547.91666666,112783834.09090908,427328945.2651504
12,2014,216562135.64727953,119571924.01500939,441639944.46529
12,2015,221532913.45794392,119880552.3364486,446895192.8971967
